*********1*********2*********3*********4*********5*********6*********7*********8
*2345678901234567890123456789012345678901234567890123456789012345678901234567890
********************************************************************************
******************* File generated by Aqwa in Workbench 2025 R1 ****************
********************************************************************************
* Project Title                   : 
* Project Reference               : 
* Project Author                  : 
* Project Description             : 
* Date of Creation                : 2/4/2025 1:18:20 PM
* Last Modified                   : 7/17/2025 10:33:39 AM
* This analysis file written at   : 7/17/2025 10:33:54 AM
* Hydrodynamic Solver Unit System : Metric: kg, m [N]
********************************************************************************
*********************************** DECK  0 ************************************
********************************************************************************
JOB AQWA  LINE        c4325767f6e4916af1bc3ecf1ca586548fcd3ad
TITLE               
NUM_CORES         8
OPTIONS AQTF CQTF 
OPTIONS AHD1 MCOL 
OPTIONS LHFR SFBM MQTF REST END
RESTART  1  5
********************************************************************************
*********************************** DECK  1 ************************************
********************************************************************************
          COOR
      NOD5
      STRC        1
     1    1          8.7521e-2 0.2912662-0.2697818
     1    2          -9.867e-2 2.4088e-2 7.9186e-2
     1    3          2.4972e-2-0.2735326 -0.508224
     1    4          8.6282e-2 0.2916505-0.3591878
     1    5          9.6237e-2 9.4956e-2 -0.508224
     1    6         -0.1013173 4.6959e-3 7.9244e-2
     1    7          9.6874e-2 0.1315222 -0.508224
     1    8          5.3676e-2-0.2475281-0.2104248
     1    9          0.1010209-5.7633e-4 0.1984861
     1   10            -0.1016 1.244e-17  0.258348
     1   11          0.2727375-1.9226e-2 -0.508224
     1   12           5.848e-2 0.2985511 -0.269769
     1   13         -4.9442e-2-5.1163e-2  0.258348
     1   14          5.7217e-2 0.2987642-0.3591957
     1   15          0.1158233 0.1137272 -0.508224
     1   16         -9.9014e-2 1.9645e-2  0.258348
     1   17           0.300913-2.9525e-2 -0.508224
     1   18         -9.2045e-2 4.2636e-2 7.9227e-2
     1   19          9.8967e-2-2.0434e-2 0.1984945
     1   20         -0.2126221 0.1351625-0.2097382
     1   21         -9.9312e-2 1.9827e-2  0.238375
     1   22          0.2970255-5.9053e-2 -0.508224
     1   23          2.9197e-2 0.3033131-0.2697554
     1   24         -3.2686e-2 -5.756e-2  0.258348
     1   25            -0.1973 0.1614732-0.2115277
     1   26          2.7618e-2 0.3033659-0.3592197
     1   27          0.1355561 0.1331957 -0.508224
     1   28         -0.1015917 2.4778e-4 0.2383737
     1   29          0.2709567 -4.894e-2 -0.508224
     1   30          -8.193e-2 5.9644e-2 7.9219e-2
     1   31          0.1135657 0.1504337 -0.508224
     1   32          9.3143e-2-3.9555e-2 0.1984979
     1   33         -5.7147e-4 0.3043084-0.2697718
     1   34          -1.493e-2-6.2003e-2  0.258348
     1   35          7.4981e-2-0.2263516-0.2019744
     1   36         -1.9689e-3 0.3043551-0.3592066
     1   37         -9.3064e-2 3.8547e-2  0.258348
     1   38         -6.8575e-2 7.4385e-2 7.9164e-2
     1   39         -9.8094e-2-7.2455e-2 -0.508224
     1   40          9.2729e-2  0.166889 -0.508224
     1   41          8.3968e-2-5.7071e-2 0.1984978
     1   42          9.1851e-2-0.2110423-0.1971681
     1   43         -9.3336e-2 3.8715e-2 0.2383763
     1   44         -7.3681e-2-8.2609e-2 -0.508224
     1   45         -3.0421e-2  0.302594-0.2697692
     1   46          3.3774e-3 -6.459e-2  0.258348
     1   47         -3.1923e-2 0.3024429-0.3591836
     1   48          6.6735e-2-0.1955231-0.1835228
     1   49         -8.6267e-2-0.1053373 -0.508224
     1   50         -5.2646e-2 8.6448e-2 7.9174e-2
     1   51          7.0887e-2 0.1800591 -0.508224
     1   52          5.5505e-2-0.2225639-0.1964986
     1   53          7.1301e-2 -7.202e-2 0.1984915
     1   54           -0.10737-9.3552e-2 -0.508224
     1   55         -8.3906e-2  5.612e-2  0.258348
     1   56         -6.0124e-2 0.2983076-0.2697681
     1   57          2.1615e-2 -6.352e-2  0.258348
     1   58         -6.1357e-2 0.2980138-0.3591768
     1   59         -8.3853e-2 5.6213e-2 0.2383765
     1   60         -3.4877e-2 9.5232e-2  7.916e-2
     1   61         -0.1514254-1.4044e-2-0.1519462
     1   62           4.744e-2 0.1897127 -0.508224
     1   63          5.5775e-2-8.4419e-2 0.1984904
     1   64          0.1534499 0.2260244 -0.508224
     1   65         -8.8689e-2 0.2915004-0.2697658
     1   66          3.9186e-2-6.0381e-2  0.258348
     1   67         -9.0231e-2 0.2911328-0.3591916
